"year","deploy_date","collect_date","sample_month","site_code","exposure","zone","collector_type","replicate","proportion_sampled","count_classcode","count","method_code","sampler","notes"
1989,1989-10-29,1989-12-13,".","SHLX00","protected","int_mid","tuffy",2,0.2,47,2,1,"UNK",".,"
1989,1989-10-29,1989-12-13,".","SHLX00","protected","int_mid","tuffy",2,0.2,49,7,1,"UNK",".,"
1989,1989-10-29,1989-12-13,".","SHLX00","protected","int_mid","tuffy",3,0.2,47,0,1,"UNK",".,"
1989,1989-10-29,1989-12-13,".","SHLX00","protected","int_mid","tuffy",3,0.2,49,8,1,"UNK",".,"
1989,1989-10-29,1989-12-13,".","SHLX00","protected","int_mid","tuffy",4,1,47,1,1,"UNK",".,"
1989,1989-10-29,1989-12-13,".","SHLX00","protected","int_mid","tuffy",4,1,49,13,1,"UNK",".,"
1989,1989-10-29,1989-12-13,".","SHLX00","protected","int_mid","tuffy",5,1,47,1,1,"UNK",".,"
1989,1989-10-29,1989-12-13,".","SHLX00","protected","int_mid","tuffy",5,1,49,14,1,"UNK",".,"
1990,1989-12-12,1990-02-28,".","BBYX00","exposed","int_mid","tuffy",1,1,47,0,1,"UNK",".,"
1990,1989-12-12,1990-02-28,".","BBYX00","exposed","int_mid","tuffy",1,1,49,8,1,"UNK",".,"
1990,1989-12-12,1990-02-28,".","BBYX00","exposed","int_mid","tuffy",2,1,47,0,1,"UNK",".,"
1990,1989-12-12,1990-02-28,".","BBYX00","exposed","int_mid","tuffy",2,1,49,3,1,"UNK",".,"
1990,1989-12-12,1990-02-28,".","BBYX00","exposed","int_mid","tuffy",3,1,47,0,1,"UNK",".,"
1990,1989-12-12,1990-02-28,".","BBYX00","exposed","int_mid","tuffy",3,1,49,8,1,"UNK",".,"
1990,1989-12-12,1990-02-28,".","BBYX00","protected","int_mid","tuffy",1,1,47,1,1,"UNK",".,"
1990,1989-12-12,1990-02-28,".","BBYX00","protected","int_mid","tuffy",1,1,49,9,1,"UNK",".,"
1990,1989-12-12,1990-02-28,".","BBYX00","protected","int_mid","tuffy",2,1,47,0,1,"UNK",".,"
1990,1989-12-12,1990-02-28,".","BBYX00","protected","int_mid","tuffy",2,1,49,4,1,"UNK",".,"
1990,1989-12-12,1990-02-28,".","BBYX00","protected","int_mid","tuffy",3,1,47,0,1,"UNK",".,"
1990,1989-12-12,1990-02-28,".","BBYX00","protected","int_mid","tuffy",3,1,49,9,1,"UNK",".,"
1990,1989-12-12,1990-02-28,".","BBYX00","protected","int_mid","tuffy",4,1,47,0,1,"UNK",".,"
1990,1989-12-12,1990-02-28,".","BBYX00","protected","int_mid","tuffy",4,1,49,6,1,"UNK",".,"
1990,1989-12-12,1990-02-28,".","BBYX00","protected","int_mid","tuffy",5,1,47,0,1,"UNK",".,"
1990,1989-12-12,1990-02-28,".","BBYX00","protected","int_mid","tuffy",5,1,49,1,1,"UNK",".,"
1990,1989-12-13,1990-01-24,".","SHLX00","exposed","int_mid","tuffy",1,0.2,47,0,1,"UNK",".,"
1990,1989-12-13,1990-01-24,".","SHLX00","exposed","int_mid","tuffy",1,0.2,49,15,1,"UNK",".,"
1990,1989-12-13,1990-01-24,".","SHLX00","exposed","int_mid","tuffy",2,1,47,0,1,"UNK",".,"
1990,1989-12-13,1990-01-24,".","SHLX00","exposed","int_mid","tuffy",2,1,49,12,1,"UNK",".,"
1990,1989-12-13,1990-01-24,".","SHLX00","exposed","int_mid","tuffy",3,1,47,0,1,"UNK",".,"
1990,1989-12-13,1990-01-24,".","SHLX00","exposed","int_mid","tuffy",3,1,49,12,1,"UNK",".,"
1990,1989-12-13,1990-01-24,".","SHLX00","exposed","int_mid","tuffy",4,1,47,1,1,"UNK",".,"
