campus,method,survey_year,year,site,latitude,longitude,MPA_Name,site_designation,site_status
UCSB,SBTL_FISH,2022,2022,ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference
UCSB,SBTL_FISH,2021,2021,ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference
UCSB,SBTL_FISH,2008,2008,ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference
UCSB,SBTL_UPC,2023,2023,ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference
UCSB,SBTL_UPC,2009,2009,ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference
UCSB,SBTL_FISH,2005,2005,ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference
UCSB,SBTL_UPC,2022,2022,ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference
UCSB,SBTL_SWATH,2008,2008,ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference
UCSB,SBTL_QUAD,2009,2009,ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference
UCSB,SBTL_FISH,2009,2009,ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference
UCSB,SBTL_SWATH,2021,2021,ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference
UCSB,SBTL_QUAD,2007,2007,ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference
UCSB,SBTL_UPC,2021,2021,ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference
UCSB,SBTL_SWATH,2009,2009,ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference
UCSB,SBTL_FISH,2006,2006,ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference
UCSB,SBTL_UPC,2007,2007,ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference
UCSB,SBTL_SWATH,2023,2023,ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference
UCSB,SBTL_FISH,2007,2007,ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference
